C000  4C F5 C5  JMP $C5F5                       A:00 X:00 Y:00 P:24 SP:FD CYC:  0
C5F5  A2 00     LDX #$00                        A:00 X:00 Y:00 P:24 SP:FD CYC:  9
C5F7  86 00     STX $00 = 00                    A:00 X:00 Y:00 P:26 SP:FD CYC: 15
F8CF  60 84     RTS                             A:80 X:33 Y:8E P:A4 SP:F9 CYC:303
D335  C8        INY                             A:80 X:33 Y:8E P:A4 SP:FB CYC:321
D336  48        PHA                             A:80 X:33 Y:8F P:A4 SP:FB CYC:327
D337  A9 7F     LDA #$7F                        A:80 X:33 Y:8F P:A4 SP:FA CYC:336
D339  85 78     STA $78 = 81                    A:7F X:33 Y:8F P:24 SP:FA CYC:  1
D33B  68        PLA                             A:7F X:33 Y:8F P:24 SP:FA CYC: 10
D33C  C5 78     CMP $78                         A:80 X:33 Y:8F P:A4 SP:FB CYC: 22
D33E  20 D3     JSR $F8D3                       A:80 X:33 Y:8F P:25 SP:FB CYC: 31
F8D3  90 05     BCC                             A:80 X:33 Y:8F P:25 SP:F9 CYC: 49
F8D5  F0 03     BEQ                             A:80 X:33 Y:8F P:25 SP:F9 CYC: 55
F8D7  30 01     BMI                             A:80 X:33 Y:8F P:25 SP:F9 CYC: 61
F8D9  60 84     RTS                             A:80 X:33 Y:8F P:25 SP:F9 CYC: 67
D341  C8        INY                             A:80 X:33 Y:8F P:25 SP:FB CYC: 85
D342  A9 40     LDA #$40                        A:80 X:33 Y:90 P:A5 SP:FB CYC: 91
D344  85 78     STA $78 = 7F                    A:40 X:33 Y:90 P:25 SP:FB CYC: 97
D346  20 31     JSR $F931                       A:40 X:33 Y:90 P:25 SP:FB CYC:106
F931  24 01     BIT $01 = FF                    A:40 X:33 Y:90 P:25 SP:F9 CYC:124
F933  A9 40     LDA #$40                        A:40 X:33 Y:90 P:E5 SP:F9 CYC:133
F935  38        SEC                             A:40 X:33 Y:90 P:65 SP:F9 CYC:139
F936  60 30     RTS                             A:40 X:33 Y:90 P:65 SP:F9 CYC:145
D349  E5 78     SBC $78                         A:40 X:33 Y:90 P:65 SP:FB CYC:163
D34B  20 37     JSR $F937                       A:00 X:33 Y:90 P:27 SP:FB CYC:172
F937  30 0B     BMI                             A:00 X:33 Y:90 P:27 SP:F9 CYC:190
F939  90 09     BCC                             A:00 X:33 Y:90 P:27 SP:F9 CYC:196
F93B  D0 07     BNE                             A:00 X:33 Y:90 P:27 SP:F9 CYC:202
F93D  70 05     BVS                             A:00 X:33 Y:90 P:27 SP:F9 CYC:208
F93F  C9 00     CMP #$00                        A:00 X:33 Y:90 P:27 SP:F9 CYC:214
F941  D0 01     BNE                             A:00 X:33 Y:90 P:27 SP:F9 CYC:220
F943  60 84     RTS                             A:00 X:33 Y:90 P:27 SP:F9 CYC:226
D34E  C8        INY                             A:00 X:33 Y:90 P:27 SP:FB CYC:244
D34F  A9 3F     LDA #$3F                        A:00 X:33 Y:91 P:A5 SP:FB CYC:250
D351  85 78     STA $78 = 40                    A:3F X:33 Y:91 P:25 SP:FB CYC:256
D353  20 47     JSR $F947                       A:3F X:33 Y:91 P:25 SP:FB CYC:265
F947  B8        CLV                             A:3F X:33 Y:91 P:25 SP:F9 CYC:283
F948  38        SEC                             A:3F X:33 Y:91 P:25 SP:F9 CYC:289
F949  A9 40     LDA #$40                        A:3F X:33 Y:91 P:25 SP:F9 CYC:295
F94B  60 F0     RTS                             A:40 X:33 Y:91 P:25 SP:F9 CYC:301
D356  E5 78     SBC $78                         A:40 X:33 Y:91 P:25 SP:FB CYC:319
D358  20 4C     JSR $F94C                       A:01 X:33 Y:91 P:25 SP:FB CYC:328
F94C  F0 0B     BEQ                             A:01 X:33 Y:91 P:25 SP:F9 CYC:  5
F94E  30 09     BMI                             A:01 X:33 Y:91 P:25 SP:F9 CYC: 11
F950  90 07     BCC                             A:01 X:33 Y:91 P:25 SP:F9 CYC: 17
F952  70 05     BVS                             A:01 X:33 Y:91 P:25 SP:F9 CYC: 23
F954  C9 01     CMP #$01                        A:01 X:33 Y:91 P:25 SP:F9 CYC: 29
F956  D0 01     BNE                             A:01 X:33 Y:91 P:27 SP:F9 CYC: 35
F958  60 84     RTS                             A:01 X:33 Y:91 P:27 SP:F9 CYC: 41
D35B  C8        INY                             A:01 X:33 Y:91 P:27 SP:FB CYC: 59
D35C  A9 41     LDA #$41                        A:01 X:33 Y:92 P:A5 SP:FB CYC: 65
D35E  85 78     STA $78 = 3F                    A:41 X:33 Y:92 P:25 SP:FB CYC: 71
D360  20 5C     JSR $F95C                       A:41 X:33 Y:92 P:25 SP:FB CYC: 80
F95C  A9 40     LDA #$40                        A:41 X:33 Y:92 P:25 SP:F9 CYC: 98
F95E  38        SEC                             A:40 X:33 Y:92 P:25 SP:F9 CYC:104
F95F  24 01     BIT $01 = FF                    A:40 X:33 Y:92 P:25 SP:F9 CYC:110
F961  60 B0     RTS                             A:40 X:33 Y:92 P:E5 SP:F9 CYC:119
D363  E5 78     SBC $78                         A:40 X:33 Y:92 P:E5 SP:FB CYC:137
D365  20 62     JSR $F962                       A:FF X:33 Y:92 P:A4 SP:FB CYC:146
F962  B0 0B     BCS                             A:FF X:33 Y:92 P:A4 SP:F9 CYC:164
F964  F0 09     BEQ                             A:FF X:33 Y:92 P:A4 SP:F9 CYC:170
F966  10 07     BPL                             A:FF X:33 Y:92 P:A4 SP:F9 CYC:176
F968  70 05     BVS                             A:FF X:33 Y:92 P:A4 SP:F9 CYC:182
F96A  C9 FF     CMP #$FF                        A:FF X:33 Y:92 P:A4 SP:F9 CYC:188
F96C  D0 01     BNE                             A:FF X:33 Y:92 P:27 SP:F9 CYC:194
F96E  60 84     RTS                             A:FF X:33 Y:92 P:27 SP:F9 CYC:200
D368  C8        INY                             A:FF X:33 Y:92 P:27 SP:FB CYC:218
D369  A9 00     LDA #$00                        A:FF X:33 Y:93 P:A5 SP:FB CYC:224
D36B  85 78     STA $78 = 41                    A:00 X:33 Y:93 P:27 SP:FB CYC:230
D36D  20 72     JSR $F972                       A:00 X:33 Y:93 P:27 SP:FB CYC:239
F972  18        CLC                             A:00 X:33 Y:93 P:27 SP:F9 CYC:257
F973  A9 80     LDA #$80                        A:00 X:33 Y:93 P:26 SP:F9 CYC:263
F975  60 90     RTS                             A:80 X:33 Y:93 P:A4 SP:F9 CYC:269
D370  E5 78     SBC $78                         A:80 X:33 Y:93 P:A4 SP:FB CYC:287
D372  20 76     JSR $F976                       A:7F X:33 Y:93 P:65 SP:FB CYC:296
F976  90 05     BCC                             A:7F X:33 Y:93 P:65 SP:F9 CYC:314
F978  C9 7F     CMP #$7F                        A:7F X:33 Y:93 P:65 SP:F9 CYC:320
F97A  D0 01     BNE                             A:7F X:33 Y:93 P:67 SP:F9 CYC:326
F97C  60 84     RTS                             A:7F X:33 Y:93 P:67 SP:F9 CYC:332
D375  C8        INY                             A:7F X:33 Y:93 P:67 SP:FB CYC:  9
D376  A9 7F     LDA #$7F                        A:7F X:33 Y:94 P:E5 SP:FB CYC: 15
D378  85 78     STA $78 = 00                    A:7F X:33 Y:94 P:65 SP:FB CYC: 21
D37A  20 80     JSR $F980                       A:7F X:33 Y:94 P:65 SP:FB CYC: 30
F980  38        SEC                             A:7F X:33 Y:94 P:65 SP:F9 CYC: 48
F981  A9 81     LDA #$81                        A:7F X:33 Y:94 P:65 SP:F9 CYC: 54
F983  60 50     RTS                             A:81 X:33 Y:94 P:E5 SP:F9 CYC: 60
D37D  E5 78     SBC $78                         A:81 X:33 Y:94 P:E5 SP:FB CYC: 78
D37F  20 84     JSR $F984                       A:02 X:33 Y:94 P:65 SP:FB CYC: 87
F984  50 07     BVC                             A:02 X:33 Y:94 P:65 SP:F9 CYC:105
F986  90 05     BCC                             A:02 X:33 Y:94 P:65 SP:F9 CYC:111
F988  C9 02     CMP #$02                        A:02 X:33 Y:94 P:65 SP:F9 CYC:117
F98A  D0 01     BNE                             A:02 X:33 Y:94 P:67 SP:F9 CYC:123
F98C  60 84     RTS                             A:02 X:33 Y:94 P:67 SP:F9 CYC:129
D382  C8        INY                             A:02 X:33 Y:94 P:67 SP:FB CYC:147
D383  A9 40     LDA #$40                        A:02 X:33 Y:95 P:E5 SP:FB CYC:153
D385  85 78     STA $78 = 7F                    A:40 X:33 Y:95 P:65 SP:FB CYC:159
D387  20 89     JSR $F889                       A:40 X:33 Y:95 P:65 SP:FB CYC:168
F889  24 01     BIT $01 = FF                    A:40 X:33 Y:95 P:65 SP:F9 CYC:186
F88B  A9 40     LDA #$40                        A:40 X:33 Y:95 P:E5 SP:F9 CYC:195
F88D  60 30     RTS                             A:40 X:33 Y:95 P:65 SP:F9 CYC:201
D38A  AA        TAX                             A:40 X:33 Y:95 P:65 SP:FB CYC:219
D38B  E4 78     CPX $78                         A:40 X:40 Y:95 P:65 SP:FB CYC:225
D38D  20 8E     JSR $F88E                       A:40 X:40 Y:95 P:67 SP:FB CYC:231
F88E  30 07     BMI                             A:40 X:40 Y:95 P:67 SP:F9 CYC:249
F890  90 05     BCC                             A:40 X:40 Y:95 P:67 SP:F9 CYC:255
F892  D0 03     BNE                             A:40 X:40 Y:95 P:67 SP:F9 CYC:261
F894  50 01     BVC                             A:40 X:40 Y:95 P:67 SP:F9 CYC:267
F896  60 84     RTS                             A:40 X:40 Y:95 P:67 SP:F9 CYC:273
D390  C8        INY                             A:40 X:40 Y:95 P:67 SP:FB CYC:291
D391  A9 3F     LDA #$3F                        A:40 X:40 Y:96 P:E5 SP:FB CYC:297
D393  85 78     STA $78 = 40                    A:3F X:40 Y:96 P:65 SP:FB CYC:303
D395  20 9A     JSR $F89A                       A:3F X:40 Y:96 P:65 SP:FB CYC:312
F89A  B8        CLV                             A:3F X:40 Y:96 P:65 SP:F9 CYC:330
F89B  60 F0     RTS                             A:3F X:40 Y:96 P:25 SP:F9 CYC:336
D398  E4 78     CPX $78                         A:3F X:40 Y:96 P:25 SP:FB CYC: 13
D39A  20 9C     JSR $F89C                       A:3F X:40 Y:96 P:25 SP:FB CYC: 19
F89C  F0 07     BEQ                             A:3F X:40 Y:96 P:25 SP:F9 CYC: 37
F89E  30 05     BMI                             A:3F X:40 Y:96 P:25 SP:F9 CYC: 43
F8A0  90 03     BCC                             A:3F X:40 Y:96 P:25 SP:F9 CYC: 49
F8A2  70 01     BVS                             A:3F X:40 Y:96 P:25 SP:F9 CYC: 55
F8A4  60 84     RTS                             A:3F X:40 Y:96 P:25 SP:F9 CYC: 61
D39D  C8        INY                             A:3F X:40 Y:96 P:25 SP:FB CYC: 79
D39E  A9 41     LDA #$41                        A:3F X:40 Y:97 P:A5 SP:FB CYC: 85
D3A0  85 78     STA $78 = 3F                    A:41 X:40 Y:97 P:25 SP:FB CYC: 91
D3A2  E4 78     CPX $78                         A:41 X:40 Y:97 P:25 SP:FB CYC:100
D3A4  20 A8     JSR $F8A8                       A:41 X:40 Y:97 P:A4 SP:FB CYC:106
F8A8  F0 05     BEQ                             A:41 X:40 Y:97 P:A4 SP:F9 CYC:124
F8AA  10 03     BPL                             A:41 X:40 Y:97 P:A4 SP:F9 CYC:130
F8AC  10 01     BPL                             A:41 X:40 Y:97 P:A4 SP:F9 CYC:136
F8AE  60 84     RTS                             A:41 X:40 Y:97 P:A4 SP:F9 CYC:142
D3A7  C8        INY                             A:41 X:40 Y:97 P:A4 SP:FB CYC:160
D3A8  A9 00     LDA #$00                        A:41 X:40 Y:98 P:A4 SP:FB CYC:166
D3AA  85 78     STA $78 = 41                    A:00 X:40 Y:98 P:26 SP:FB CYC:172
D3AC  20 B2     JSR $F8B2                       A:00 X:40 Y:98 P:26 SP:FB CYC:181
F8B2  A9 80     LDA #$80                        A:00 X:40 Y:98 P:26 SP:F9 CYC:199
F8B4  60 F0     RTS                             A:80 X:40 Y:98 P:A4 SP:F9 CYC:205
D3AF  AA        TAX                             A:80 X:40 Y:98 P:A4 SP:FB CYC:223
D3B0  E4 78     CPX $78                         A:80 X:80 Y:98 P:A4 SP:FB CYC:229
D3B2  20 B5     JSR $F8B5                       A:80 X:80 Y:98 P:A5 SP:FB CYC:235
F8B5  F0 05     BEQ                             A:80 X:80 Y:98 P:A5 SP:F9 CYC:253
F8B7  10 03     BPL                             A:80 X:80 Y:98 P:A5 SP:F9 CYC:259
F8B9  90 01     BCC                             A:80 X:80 Y:98 P:A5 SP:F9 CYC:265
F8BB  60 84     RTS                             A:80 X:80 Y:98 P:A5 SP:F9 CYC:271
D3B5  C8        INY                             A:80 X:80 Y:98 P:A5 SP:FB CYC:289
D3B6  A9 80     LDA #$80                        A:80 X:80 Y:99 P:A5 SP:FB CYC:295
D3B8  85 78     STA $78 = 00                    A:80 X:80 Y:99 P:A5 SP:FB CYC:301
D3BA  E4 78     CPX $78                         A:80 X:80 Y:99 P:A5 SP:FB CYC:310
D3BC  20 BF     JSR $F8BF                       A:80 X:80 Y:99 P:27 SP:FB CYC:316
F8BF  D0 05     BNE                             A:80 X:80 Y:99 P:27 SP:F9 CYC:334
F8C1  30 03     BMI                             A:80 X:80 Y:99 P:27 SP:F9 CYC:340
F8C3  90 01     BCC                             A:80 X:80 Y:99 P:27 SP:F9 CYC:  5
F8C5  60 84     RTS                             A:80 X:80 Y:99 P:27 SP:F9 CYC: 11
D3BF  C8        INY                             A:80 X:80 Y:99 P:27 SP:FB CYC: 29
D3C0  A9 81     LDA #$81                        A:80 X:80 Y:9A P:A5 SP:FB CYC: 35
D3C2  85 78     STA $78 = 80                    A:81 X:80 Y:9A P:A5 SP:FB CYC: 41
D3C4  E4 78     CPX $78                         A:81 X:80 Y:9A P:A5 SP:FB CYC: 50
D3C6  20 C9     JSR $F8C9                       A:81 X:80 Y:9A P:A4 SP:FB CYC: 56
F8C9  B0 05     BCS                             A:81 X:80 Y:9A P:A4 SP:F9 CYC: 74
F8CB  F0 03     BEQ                             A:81 X:80 Y:9A P:A4 SP:F9 CYC: 80
F8CD  10 01     BPL                             A:81 X:80 Y:9A P:A4 SP:F9 CYC: 86
F8CF  60 84     RTS                             A:81 X:80 Y:9A P:A4 SP:F9 CYC: 92
D3C9  C8        INY                             A:81 X:80 Y:9A P:A4 SP:FB CYC:110
D3CA  A9 7F     LDA #$7F                        A:81 X:80 Y:9B P:A4 SP:FB CYC:116
D3CC  85 78     STA $78 = 81                    A:7F X:80 Y:9B P:24 SP:FB CYC:122
D3CE  E4 78     CPX $78                         A:7F X:80 Y:9B P:24 SP:FB CYC:131
D3D0  20 D3     JSR $F8D3                       A:7F X:80 Y:9B P:25 SP:FB CYC:137
F8D3  90 05     BCC                             A:7F X:80 Y:9B P:25 SP:F9 CYC:155
F8D5  F0 03     BEQ                             A:7F X:80 Y:9B P:25 SP:F9 CYC:161
F8D7  30 01     BMI                             A:7F X:80 Y:9B P:25 SP:F9 CYC:167
F8D9  60 84     RTS                             A:7F X:80 Y:9B P:25 SP:F9 CYC:173
D3D3  C8        INY                             A:7F X:80 Y:9B P:25 SP:FB CYC:191
D3D4  98        TYA                             A:7F X:80 Y:9C P:A5 SP:FB CYC:197
D3D5  AA        TAX                             A:9C X:80 Y:9C P:A5 SP:FB CYC:203
D3D6  A9 40     LDA #$40                        A:9C X:9C Y:9C P:A5 SP:FB CYC:209
D3D8  85 78     STA $78 = 7F                    A:40 X:9C Y:9C P:25 SP:FB CYC:215
D3DA  20 DD     JSR $F8DD                       A:40 X:9C Y:9C P:25 SP:FB CYC:224
F8DD  24 01     BIT $01 = FF                    A:40 X:9C Y:9C P:25 SP:F9 CYC:242
F8DF  A0 40     LDY #$40                        A:40 X:9C Y:9C P:E5 SP:F9 CYC:251
F8E1  60 30     RTS                             A:40 X:9C Y:40 P:65 SP:F9 CYC:257
D3DD  C4 78     CPY $78                         A:40 X:9C Y:40 P:65 SP:FB CYC:275
D3DF  20 E2     JSR $F8E2                       A:40 X:9C Y:40 P:67 SP:FB CYC:281
F8E2  30 07     BMI                             A:40 X:9C Y:40 P:67 SP:F9 CYC:299
F8E4  90 05     BCC                             A:40 X:9C Y:40 P:67 SP:F9 CYC:305
F8E6  D0 03     BNE                             A:40 X:9C Y:40 P:67 SP:F9 CYC:311
F8E8  50 01     BVC                             A:40 X:9C Y:40 P:67 SP:F9 CYC:317
F8EA  60 86     RTS                             A:40 X:9C Y:40 P:67 SP:F9 CYC:323
D3E2  E8        INX                             A:40 X:9C Y:40 P:67 SP:FB CYC:  0
D3E3  A9 3F     LDA #$3F                        A:40 X:9D Y:40 P:E5 SP:FB CYC:  6
D3E5  85 78     STA $78 = 40                    A:3F X:9D Y:40 P:65 SP:FB CYC: 12
D3E7  20 EE     JSR $F8EE                       A:3F X:9D Y:40 P:65 SP:FB CYC: 21
F8EE  B8        CLV                             A:3F X:9D Y:40 P:65 SP:F9 CYC: 39
F8EF  60 F0     RTS                             A:3F X:9D Y:40 P:25 SP:F9 CYC: 45
D3EA  C4 78     CPY $78                         A:3F X:9D Y:40 P:25 SP:FB CYC: 63
D3EC  20 F0     JSR $F8F0                       A:3F X:9D Y:40 P:25 SP:FB CYC: 69
F8F0  F0 07     BEQ                             A:3F X:9D Y:40 P:25 SP:F9 CYC: 87
F8F2  30 05     BMI                             A:3F X:9D Y:40 P:25 SP:F9 CYC: 93
F8F4  90 03     BCC                             A:3F X:9D Y:40 P:25 SP:F9 CYC: 99
F8F6  70 01     BVS                             A:3F X:9D Y:40 P:25 SP:F9 CYC:105
F8F8  60 86     RTS                             A:3F X:9D Y:40 P:25 SP:F9 CYC:111
D3EF  E8        INX                             A:3F X:9D Y:40 P:25 SP:FB CYC:129
D3F0  A9 41     LDA #$41                        A:3F X:9E Y:40 P:A5 SP:FB CYC:135
D3F2  85 78     STA $78 = 3F                    A:41 X:9E Y:40 P:25 SP:FB CYC:141
D3F4  C4 78     CPY $78                         A:41 X:9E Y:40 P:25 SP:FB CYC:150
D3F6  20 FC     JSR $F8FC                       A:41 X:9E Y:40 P:A4 SP:FB CYC:156
F8FC  F0 05     BEQ                             A:41 X:9E Y:40 P:A4 SP:F9 CYC:174
F8FE  10 03     BPL                             A:41 X:9E Y:40 P:A4 SP:F9 CYC:180
F900  10 01     BPL                             A:41 X:9E Y:40 P:A4 SP:F9 CYC:186
F902  60 86     RTS                             A:41 X:9E Y:40 P:A4 SP:F9 CYC:192
D3F9  E8        INX                             A:41 X:9E Y:40 P:A4 SP:FB CYC:210
D3FA  A9 00     LDA #$00                        A:41 X:9F Y:40 P:A4 SP:FB CYC:216
D3FC  85 78     STA $78 = 41                    A:00 X:9F Y:40 P:26 SP:FB CYC:222
D3FE  20 06     JSR $F906                       A:00 X:9F Y:40 P:26 SP:FB CYC:231
F906  A0 80     LDY #$80                        A:00 X:9F Y:40 P:26 SP:F9 CYC:249
F908  60 F0     RTS                             A:00 X:9F Y:80 P:A4 SP:F9 CYC:255
D401  C4 78     CPY $78                         A:00 X:9F Y:80 P:A4 SP:FB CYC:273
D403  20 09     JSR $F909                       A:00 X:9F Y:80 P:A5 SP:FB CYC:279
F909  F0 05     BEQ                             A:00 X:9F Y:80 P:A5 SP:F9 CYC:297
F90B  10 03     BPL                             A:00 X:9F Y:80 P:A5 SP:F9 CYC:303
F90D  90 01     BCC                             A:00 X:9F Y:80 P:A5 SP:F9 CYC:309
F90F  60 86     RTS                             A:00 X:9F Y:80 P:A5 SP:F9 CYC:315
D406  E8        INX                             A:00 X:9F Y:80 P:A5 SP:FB CYC:333
D407  A9 80     LDA #$80                        A:00 X:A0 Y:80 P:A5 SP:FB CYC:339
D409  85 78     STA $78 = 00                    A:80 X:A0 Y:80 P:A5 SP:FB CYC:  4
D40B  C4 78     CPY $78                         A:80 X:A0 Y:80 P:A5 SP:FB CYC: 13
D40D  20 13     JSR $F913                       A:80 X:A0 Y:80 P:27 SP:FB CYC: 19
F913  D0 05     BNE                             A:80 X:A0 Y:80 P:27 SP:F9 CYC: 37
F915  30 03     BMI                             A:80 X:A0 Y:80 P:27 SP:F9 CYC: 43
F917  90 01     BCC                             A:80 X:A0 Y:80 P:27 SP:F9 CYC: 49
F919  60 86     RTS                             A:80 X:A0 Y:80 P:27 SP:F9 CYC: 55
D410  E8        INX                             A:80 X:A0 Y:80 P:27 SP:FB CYC: 73
D411  A9 81     LDA #$81                        A:80 X:A1 Y:80 P:A5 SP:FB CYC: 79
D413  85 78     STA $78 = 80                    A:81 X:A1 Y:80 P:A5 SP:FB CYC: 85
D415  C4 78     CPY $78                         A:81 X:A1 Y:80 P:A5 SP:FB CYC: 94
D417  20 1D     JSR $F91D                       A:81 X:A1 Y:80 P:A4 SP:FB CYC:100
F91D  B0 05     BCS                             A:81 X:A1 Y:80 P:A4 SP:F9 CYC:118
F91F  F0 03     BEQ                             A:81 X:A1 Y:80 P:A4 SP:F9 CYC:124
F921  10 01     BPL                             A:81 X:A1 Y:80 P:A4 SP:F9 CYC:130
F923  60 86     RTS                             A:81 X:A1 Y:80 P:A4 SP:F9 CYC:136
D41A  E8        INX                             A:81 X:A1 Y:80 P:A4 SP:FB CYC:154
D41B  A9 7F     LDA #$7F                        A:81 X:A2 Y:80 P:A4 SP:FB CYC:160
D41D  85 78     STA $78 = 81                    A:7F X:A2 Y:80 P:24 SP:FB CYC:166
D41F  C4 78     CPY $78                         A:7F X:A2 Y:80 P:24 SP:FB CYC:175
D421  20 27     JSR $F927                       A:7F X:A2 Y:80 P:25 SP:FB CYC:181
F927  90 05     BCC                             A:7F X:A2 Y:80 P:25 SP:F9 CYC:199
F929  F0 03     BEQ                             A:7F X:A2 Y:80 P:25 SP:F9 CYC:205
F92B  30 01     BMI                             A:7F X:A2 Y:80 P:25 SP:F9 CYC:211
F92D  60 86     RTS                             A:7F X:A2 Y:80 P:25 SP:F9 CYC:217
D424  E8        INX                             A:7F X:A2 Y:80 P:25 SP:FB CYC:235
D425  8A        TXA                             A:7F X:A3 Y:80 P:A5 SP:FB CYC:241
D426  A8        TAY                             A:A3 X:A3 Y:80 P:A5 SP:FB CYC:247
D427  20 90     JSR $F990                       A:A3 X:A3 Y:A3 P:A5 SP:FB CYC:253
F990  A2 55     LDX #$55                        A:A3 X:A3 Y:A3 P:A5 SP:F9 CYC:271
F992  A9 FF     LDA #$FF                        A:A3 X:55 Y:A3 P:25 SP:F9 CYC:277
F994  85 01     STA $01 = FF                    A:FF X:55 Y:A3 P:A5 SP:F9 CYC:283
F996  EA        NOP                             A:FF X:55 Y:A3 P:A5 SP:F9 CYC:292
F997  24 01     BIT $01 = FF                    A:FF X:55 Y:A3 P:A5 SP:F9 CYC:298
F999  38        SEC                             A:FF X:55 Y:A3 P:E5 SP:F9 CYC:307
F99A  A9 01     LDA #$01                        A:FF X:55 Y:A3 P:E5 SP:F9 CYC:313
F99C  60 90     RTS                             A:01 X:55 Y:A3 P:65 SP:F9 CYC:319
D42A  85 78     STA $78 = 7F                    A:01 X:55 Y:A3 P:65 SP:FB CYC:337
D42C  46 78     LSR $78                         A:01 X:55 Y:A3 P:65 SP:FB CYC:  5
D42E  A5 78     LDA $78                         A:01 X:55 Y:A3 P:67 SP:FB CYC: 20
D430  20 9D     JSR $F99D                       A:00 X:55 Y:A3 P:67 SP:FB CYC: 29
F99D  90 1B     BCC                             A:00 X:55 Y:A3 P:67 SP:F9 CYC: 47
F99F  D0 19     BNE                             A:00 X:55 Y:A3 P:67 SP:F9 CYC: 53
F9A1  30 17     BMI                             A:00 X:55 Y:A3 P:67 SP:F9 CYC: 59
F9A3  50 15     BVC                             A:00 X:55 Y:A3 P:67 SP:F9 CYC: 65
F9A5  C9 00     CMP #$00                        A:00 X:55 Y:A3 P:67 SP:F9 CYC: 71
F9A7  D0 11     BNE                             A:00 X:55 Y:A3 P:67 SP:F9 CYC: 77
F9A9  B8        CLV                             A:00 X:55 Y:A3 P:67 SP:F9 CYC: 83
F9AA  A9 AA     LDA #$AA                        A:00 X:55 Y:A3 P:27 SP:F9 CYC: 89
F9AC  60 B0     RTS                             A:AA X:55 Y:A3 P:A5 SP:F9 CYC: 95
D433  C8        INY                             A:AA X:55 Y:A3 P:A5 SP:FB CYC:113
D434  85 78     STA $78 = 00                    A:AA X:55 Y:A4 P:A5 SP:FB CYC:119
D436  46 78     LSR $78                         A:AA X:55 Y:A4 P:A5 SP:FB CYC:128
D438  A5 78     LDA $78                         A:AA X:55 Y:A4 P:24 SP:FB CYC:143
D43A  20 AD     JSR $F9AD                       A:55 X:55 Y:A4 P:24 SP:FB CYC:152
F9AD  B0 0B     BCS                             A:55 X:55 Y:A4 P:24 SP:F9 CYC:170
F9AF  F0 09     BEQ                             A:55 X:55 Y:A4 P:24 SP:F9 CYC:176
F9B1  30 07     BMI                             A:55 X:55 Y:A4 P:24 SP:F9 CYC:182
F9B3  70 05     BVS                             A:55 X:55 Y:A4 P:24 SP:F9 CYC:188
F9B5  C9 55     CMP #$55                        A:55 X:55 Y:A4 P:24 SP:F9 CYC:194
F9B7  D0 01     BNE                             A:55 X:55 Y:A4 P:27 SP:F9 CYC:200
F9B9  60 84     RTS                             A:55 X:55 Y:A4 P:27 SP:F9 CYC:206
D43D  C8        INY                             A:55 X:55 Y:A4 P:27 SP:FB CYC:224
D43E  20 BD     JSR $F9BD                       A:55 X:55 Y:A5 P:A5 SP:FB CYC:230
F9BD  24 01     BIT $01 = FF                    A:55 X:55 Y:A5 P:A5 SP:F9 CYC:248
F9BF  38        SEC                             A:55 X:55 Y:A5 P:E5 SP:F9 CYC:257
F9C0  A9 80     LDA #$80                        A:55 X:55 Y:A5 P:E5 SP:F9 CYC:263
F9C2  60 90     RTS                             A:80 X:55 Y:A5 P:E5 SP:F9 CYC:269
D441  85 78     STA $78 = 55                    A:80 X:55 Y:A5 P:E5 SP:FB CYC:287
D443  06 78     ASL $78                         A:80 X:55 Y:A5 P:E5 SP:FB CYC:296
D445  A5 78     LDA $78                         A:80 X:55 Y:A5 P:67 SP:FB CYC:311
D447  20 C3     JSR $F9C3                       A:00 X:55 Y:A5 P:67 SP:FB CYC:320
F9C3  90 1C     BCC                             A:00 X:55 Y:A5 P:67 SP:F9 CYC:338
F9C5  D0 1A     BNE                             A:00 X:55 Y:A5 P:67 SP:F9 CYC:  3
F9C7  30 18     BMI                             A:00 X:55 Y:A5 P:67 SP:F9 CYC:  9
F9C9  50 16     BVC                             A:00 X:55 Y:A5 P:67 SP:F9 CYC: 15
F9CB  C9 00     CMP #$00                        A:00 X:55 Y:A5 P:67 SP:F9 CYC: 21
F9CD  D0 12     BNE                             A:00 X:55 Y:A5 P:67 SP:F9 CYC: 27
F9CF  B8        CLV                             A:00 X:55 Y:A5 P:67 SP:F9 CYC: 33
F9D0  A9 55     LDA #$55                        A:00 X:55 Y:A5 P:27 SP:F9 CYC: 39
F9D2  38        SEC                             A:55 X:55 Y:A5 P:25 SP:F9 CYC: 45
F9D3  60 B0     RTS                             A:55 X:55 Y:A5 P:25 SP:F9 CYC: 51
D44A  C8        INY                             A:55 X:55 Y:A5 P:25 SP:FB CYC: 69
D44B  85 78     STA $78 = 00                    A:55 X:55 Y:A6 P:A5 SP:FB CYC: 75
D44D  06 78     ASL $78                         A:55 X:55 Y:A6 P:A5 SP:FB CYC: 84
D44F  A5 78     LDA $78                         A:55 X:55 Y:A6 P:A4 SP:FB CYC: 99
D451  20 D4     JSR $F9D4                       A:AA X:55 Y:A6 P:A4 SP:FB CYC:108
F9D4  B0 0B     BCS                             A:AA X:55 Y:A6 P:A4 SP:F9 CYC:126
F9D6  F0 09     BEQ                             A:AA X:55 Y:A6 P:A4 SP:F9 CYC:132
F9D8  10 07     BPL                             A:AA X:55 Y:A6 P:A4 SP:F9 CYC:138
F9DA  70 05     BVS                             A:AA X:55 Y:A6 P:A4 SP:F9 CYC:144
